Month,Ozone_ppb
2010-07-06,36.51122093023255
2010-07-07,37.09181818181817
2010-07-08,37.97874719101123
2010-07-09,38.59520903954802
2010-07-10,41.44141011235954
2010-07-11,39.92336046511628
2010-07-12,36.39378409090906
2010-07-13,32.60388700564971
2010-07-14,34.287316666666676
2010-07-15,35.70435028248588
2010-07-16,37.00859659090912
2010-07-17,34.41945664739885
2010-07-18,33.48083139534885
2010-07-19,34.632508571428595
2010-07-20,36.0373163841808
2010-07-21,36.64889473684208
2010-07-22,38.11068000000001
2010-07-23,39.94569886363639
2010-07-24,42.026615819209034
2010-07-25,38.87481609195402
2010-07-26,36.01175144508669
2010-07-27,35.38041379310345
2010-07-28,33.57468181818183
2010-07-29,35.327184357541924
2010-07-30,37.23117415730336
2010-07-31,37.25783522727272
2010-08-01,37.054977401129925
