,Ozone_ppb,Month
1297,38.58733707865171,2013-07-21
1298,38.041101123595524,2013-07-22
1299,37.688438202247184,2013-07-23
1300,37.799265536723155,2013-07-24
1301,37.417871508379896,2013-07-25
1302,35.257441340782094,2013-07-26
1303,38.794363128491604,2013-07-27
1304,36.53672471910111,2013-07-28
1305,37.839733333333356,2013-07-29
1306,40.36140659340658,2013-07-30
1307,36.84231284916199,2013-07-31
1308,35.766361111111095,2013-08-01
1309,39.01632044198893,2013-08-02
1310,40.24624581005586,2013-08-03
1311,39.85867222222222,2013-08-04
1312,37.732955801104936,2013-08-05
1313,36.2285810055866,2013-08-06
1314,29.438691011235964,2013-08-07
1315,29.852909604519766,2013-08-08
1316,32.519642045454546,2013-08-09
1317,34.472914772727286,2013-08-10
1318,35.77706249999995,2013-08-11
1319,36.7112415730337,2013-08-12
1320,39.2257150837989,2013-08-13
1321,38.835528409090905,2013-08-14
1322,35.50168539325844,2013-08-15
1323,33.87133333333333,2013-08-16
1324,34.4499382022472,2013-08-17
1325,36.82080337078652,2013-08-18
1326,38.25033146067414,2013-08-19
1327,39.224727777777794,2013-08-20
1328,33.51865000000001,2013-08-21
1329,33.139455555555536,2013-08-22
1330,34.92612222222223,2013-08-23
1331,32.56137222222223,2013-08-24
1332,30.830229050279325,2013-08-25
1333,28.39731284916201,2013-08-26
1334,32.2170055865922,2013-08-27
1335,31.221331491712732,2013-08-28
1336,28.881010989011003,2013-08-29
1337,30.581727777777783,2013-08-30
1338,30.925933701657467,2013-08-31
1339,26.38522651933701,2013-09-01
1340,25.15633888888889,2013-09-02
1341,30.724144444444427,2013-09-03
1342,33.68631843575417,2013-09-04
1343,33.71835393258427,2013-09-05
1344,35.881307262569855,2013-09-06
1345,38.91493854748602,2013-09-07
1346,38.490413407821215,2013-09-08
1347,35.85730000000001,2013-09-09
1348,35.341561111111105,2013-09-10
1349,33.894499999999994,2013-09-11
1350,35.86722777777777,2013-09-12
1351,38.01500000000002,2013-09-13
1352,41.657157303370816,2013-09-14
1353,36.75869101123597,2013-09-15
1354,34.993519774011325,2013-09-16
1355,33.964842696629184,2013-09-17
1356,34.87622471910111,2013-09-18
1357,41.137988826815636,2013-09-19
1358,37.32559668508285,2013-09-20
1359,32.36054143646409,2013-09-21
1360,32.54017777777779,2013-09-22
1361,33.525582417582434,2013-09-23
1362,38.455999999999996,2013-09-24
1363,33.056733333333355,2013-09-25
1364,28.65077900552488,2013-09-26
1365,28.71941758241759,2013-09-27
1366,35.063868131868155,2013-09-28
1367,33.213032967032966,2013-09-29
1368,31.38117032967032,2013-09-30
1369,32.68975418994413,2013-10-01
1370,34.15848295454545,2013-10-02
1371,34.4653220338983,2013-10-03
1372,32.603893854748584,2013-10-04
1373,34.29483707865169,2013-10-05
1374,38.566820224719095,2013-10-06
1375,39.441977528089865,2013-10-07
1376,38.15776271186439,2013-10-08
1377,28.62764971751411,2013-10-09
1378,27.99932584269664,2013-10-10
1379,30.586418079096045,2013-10-11
1380,36.35610734463276,2013-10-12
1381,31.770480225988702,2013-10-13
1382,32.155662921348316,2013-10-14
1383,33.39418079096045,2013-10-15
1384,33.01368000000001,2013-10-16
1385,34.98771910112359,2013-10-17
1386,33.87051412429377,2013-10-18
1387,37.15886931818181,2013-10-19
1388,37.84265340909089,2013-10-20
1389,33.120146892655356,2013-10-21
1390,33.07290340909092,2013-10-22
1391,35.210170454545455,2013-10-23
1392,33.92981249999999,2013-10-24
1393,30.561079545454536,2013-10-25
1394,34.06547428571428,2013-10-26
1395,38.77686285714286,2013-10-27
1396,25.917371428571425,2013-10-28
1397,21.289519553072623,2013-10-29
1398,21.663651685393265,2013-10-30
1399,23.557194444444463,2013-10-31
1400,25.91904678362573,2013-11-01
1401,32.542812865497076,2013-11-02
1402,32.61117543859648,2013-11-03
1403,27.58275294117648,2013-11-04
1404,24.801367469879533,2013-11-05
1405,24.146662721893488,2013-11-06
1406,24.10636094674557,2013-11-07
1407,25.107810650887586,2013-11-08
1408,30.321745562130168,2013-11-09
1409,33.29101190476193,2013-11-10
1410,27.960065868263484,2013-11-11
1411,19.72277844311377,2013-11-12
1412,24.925748502994004,2013-11-13
1413,25.05618235294116,2013-11-14
1414,26.183023391812863,2013-11-15
1415,28.783511764705892,2013-11-16
1416,25.021482352941195,2013-11-17
1417,26.818437869822496,2013-11-18
1418,23.869229411764714,2013-11-19
1419,24.300497076023408,2013-11-20
1420,25.237441176470604,2013-11-21
1421,21.886232142857143,2013-11-22
1422,20.55583233532933,2013-11-23
1423,20.319130952380952,2013-11-24
1424,19.209988095238103,2013-11-25
1425,17.575748538011702,2013-11-26
1426,20.521615384615377,2013-11-27
1427,23.229154761904763,2013-11-28
1428,18.74981065088759,2013-11-29
